num_training_examples_observed,loss
0,2.2147774696350098
640,1.2526583671569824
1280,0.7991246581077576
1920,0.4071679413318634
2560,0.35771113634109497
3200,0.25649547576904297
3840,0.2931968569755554
4480,0.5017914175987244
5120,0.3907909393310547
5760,0.21567022800445557
6400,0.3488638401031494
7040,0.2961810231208801
7680,0.11028626561164856
8320,0.27686217427253723
8960,0.2602882385253906
9600,0.15068930387496948
10240,0.09548963606357574
10880,0.055650126188993454
11520,0.1346447765827179
12160,0.24371106922626495
12800,0.17730866372585297
13440,0.20347654819488525
14080,0.044091153889894485
14720,0.09341975301504135
15360,0.25286656618118286
16000,0.23129484057426453
16640,0.06771403551101685
17280,0.3329850435256958
17920,0.17139606177806854
18560,0.23102587461471558
19200,0.1388072967529297
19840,0.09099925309419632
20480,0.18144959211349487
21120,0.13498565554618835
21760,0.09632129967212677
22400,0.12084220349788666
23040,0.17407137155532837
23680,0.02500823885202408
24320,0.03038669005036354
24960,0.10436288267374039
25600,0.1646013706922531
26240,0.14578862488269806
26880,0.10513819754123688
27520,0.39904311299324036
28160,0.193625345826149
28800,0.19740162789821625
29440,0.12385290116071701
30080,0.1583484262228012
30720,0.03439654782414436
31360,0.18707725405693054
32000,0.19185076653957367
32640,0.09609352797269821
33280,0.10403739660978317
33920,0.06504301726818085
34560,0.15787220001220703
35200,0.10223052650690079
35840,0.046989455819129944
36480,0.10318268090486526
37120,0.11371005326509476
37760,0.11233397573232651
38400,0.06703399121761322
39040,0.05449441820383072
39680,0.06171145290136337
40320,0.06955838203430176
40960,0.13543762266635895
41600,0.10038090497255325
42240,0.0763324499130249
42880,0.27149736881256104
43520,0.05777198076248169
44160,0.2742166221141815
44800,0.12205149233341217
45440,0.17718835175037384
46080,0.026702428236603737
46720,0.16415081918239594
47360,0.03941108286380768
48000,0.026786919683218002
48640,0.15337271988391876
49280,0.03304162621498108
49920,0.0619102418422699
50560,0.048695579171180725
51200,0.1847885549068451
51840,0.058934975415468216
52480,0.05652819946408272
53120,0.005809694062918425
53760,0.3470311164855957
54077,0.07074033468961716
54717,0.11036406457424164
55357,0.033050186932086945
55997,0.026519836857914925
56637,0.049186110496520996
57277,0.009036635048687458
57917,0.07844511419534683
58557,0.19163385033607483
59197,0.18251781165599823
59837,0.23635919392108917
60477,0.009755661711096764
61117,0.016400769352912903
61757,0.02777910605072975
62397,0.08071336895227432
63037,0.020548515021800995
63677,0.04999164119362831
64317,0.0423969142138958
64957,0.008282134309411049
65597,0.18003608286380768
66237,0.16778013110160828
66877,0.08179239928722382
67517,0.05796663463115692
68157,0.00986327975988388
68797,0.06294279545545578
69437,0.0818009302020073
70077,0.13980160653591156
70717,0.10576355457305908
71357,0.12333790212869644
71997,0.024307390674948692
72637,0.20067773759365082
73277,0.11961355805397034
73917,0.03261807560920715
74557,0.03396248817443848
75197,0.08143074810504913
75837,0.009219443425536156
76477,0.015218501910567284
77117,0.1330101490020752
77757,0.034478116780519485
78397,0.009546916000545025
79037,0.06025684252381325
79677,0.07705501466989517
80317,0.04311325028538704
80957,0.04636203125119209
81597,0.09291037917137146
82237,0.11699620634317398
82877,0.08530373126268387
83517,0.07385563105344772
84157,0.16408739984035492
84797,0.008743886835873127
85437,0.053753092885017395
86077,0.17648494243621826
86717,0.041485097259283066
87357,0.02805393375456333
87997,0.023708825930953026
88637,0.23367367684841156
89277,0.06372209638357162
89917,0.022535746917128563
90557,0.011668195016682148
91197,0.07937271147966385
91837,0.1153537929058075
92477,0.051713377237319946
93117,0.028697697445750237
93757,0.035095106810331345
94397,0.05784204229712486
95037,0.09858102351427078
95677,0.020211661234498024
96317,0.025110701099038124
96957,0.06139489635825157
97597,0.020426981151103973
98237,0.035336922854185104
98877,0.01690654642879963
99517,0.05734463781118393
100157,0.02435237355530262
100797,0.05223487317562103
101437,0.07303299754858017
102077,0.003497170750051737
102717,0.11649470031261444
103357,0.0365939736366272
103997,0.04025401920080185
104637,0.018631746992468834
105277,0.09479591995477676
105917,0.08379535377025604
106557,0.016687188297510147
107197,0.0006364464061334729
107837,0.2783929407596588
108154,0.041414085775613785
108794,0.0796818807721138
109434,0.010497737675905228
110074,0.04242250695824623
110714,0.02047840878367424
111354,0.0075644575990736485
111994,0.02290583774447441
112634,0.20724822580814362
113274,0.082635298371315
113914,0.1401534080505371
114554,0.010076717473566532
115194,0.011794772930443287
115834,0.007455821614712477
116474,0.0485813282430172
117114,0.02383553795516491
117754,0.021309252828359604
118394,0.00913904793560505
119034,0.026456113904714584
119674,0.0399031788110733
120314,0.04648401960730553
120954,0.04225286468863487
121594,0.007007556036114693
122234,0.0053629400208592415
122874,0.07268334180116653
123514,0.10105400532484055
124154,0.02917400188744068
124794,0.05945800244808197
125434,0.08988267928361893
126074,0.01681349240243435
126714,0.013624309562146664
127354,0.0830087959766388
127994,0.0038944659754633904
128634,0.054062794893980026
129274,0.018948597833514214
129914,0.014386503025889397
